epoch,train_loss,val_loss,val_auc,val_accuracy,lr,time_epoch_sec
0,0.553627,0.515818,nan,1.000000,0.00010000,72.25
1,0.377562,0.352616,nan,1.000000,0.00010000,71.90
2,0.255293,0.211890,nan,1.000000,0.00010000,72.22
3,0.171623,0.127446,nan,1.000000,0.00010000,70.89
4,0.117696,0.096797,nan,1.000000,0.00010000,72.84
5,0.078042,0.061994,nan,1.000000,0.00010000,70.20
6,0.056005,0.040290,nan,1.000000,0.00010000,68.54
7,0.039649,0.036487,nan,1.000000,0.00010000,69.46
8,0.030148,0.025886,nan,1.000000,0.00010000,74.00
