epoch,train_loss,val_loss,val_auc,val_accuracy,lr,time_epoch_sec
0,0.538324,0.484478,nan,1.000000,0.00010000,46.51
1,0.352207,0.331404,nan,1.000000,0.00010000,43.35
2,0.221658,0.183429,nan,1.000000,0.00010000,42.93
3,0.144710,0.108987,nan,1.000000,0.00010000,43.91
4,0.092252,0.072809,nan,1.000000,0.00010000,42.77
5,0.060742,0.041461,nan,1.000000,0.00010000,42.80
6,0.038835,0.031449,nan,1.000000,0.00010000,42.62
7,0.027132,0.023603,nan,1.000000,0.00010000,42.50
8,0.019329,0.014936,nan,1.000000,0.00010000,42.54
