epoch,train_loss,val_loss,val_dice,val_iou,lr,time_epoch
0,1.479123,1.315825,0.415738,0.414816,0.00010000,161.33
1,1.199295,1.109008,0.415850,0.415037,0.00010000,159.62
2,1.038166,0.960131,0.415851,0.415040,0.00010000,162.37
3,0.918981,0.872871,0.415851,0.415040,0.00010000,160.68
4,0.842203,0.811008,0.415851,0.415040,0.00010000,159.31
5,0.791532,0.768276,0.415851,0.415040,0.00010000,161.45
6,0.756251,0.742151,0.415851,0.415040,0.00010000,159.51
7,0.729313,0.722630,0.458350,0.440254,0.00010000,163.23
